,Temperature F,Number of Rides,Weather Description,index1,weekday
2014-07-20 04:00:00,68.30600000000003,30,broken clouds,2014-07-20 04:00:00,Sunday
2014-07-20 07:00:00,67.17200000000004,32,broken clouds,2014-07-20 07:00:00,Sunday
2014-07-20 08:00:00,66.93800000000005,32,light rain,2014-07-20 08:00:00,Sunday
2014-07-20 09:00:00,66.68599999999996,38,overcast clouds,2014-07-20 09:00:00,Sunday
2014-07-20 12:00:00,67.1,34,light rain,2014-07-20 12:00:00,Sunday
2014-07-20 16:00:00,75.39800000000002,55,broken clouds,2014-07-20 16:00:00,Sunday
2014-07-20 17:00:00,76.442,48,scattered clouds,2014-07-20 17:00:00,Sunday
2014-07-20 18:00:00,76.96400000000003,36,broken clouds,2014-07-20 18:00:00,Sunday
2014-07-21 01:00:00,70.51999999999995,35,scattered clouds,2014-07-21 01:00:00,Monday
2014-07-21 02:00:00,69.00800000000001,29,scattered clouds,2014-07-21 02:00:00,Monday
2014-07-21 03:00:00,67.442,19,few clouds,2014-07-21 03:00:00,Monday
2014-07-21 04:00:00,65.87599999999999,12,few clouds,2014-07-21 04:00:00,Monday
2014-07-21 07:00:00,63.01400000000003,33,sky is clear,2014-07-21 07:00:00,Monday
2014-07-21 08:00:00,62.780000000000044,63,mist,2014-07-21 08:00:00,Monday
2014-07-21 09:00:00,62.20399999999995,59,mist,2014-07-21 09:00:00,Monday
2014-07-21 12:00:00,67.62200000000004,27,scattered clouds,2014-07-21 12:00:00,Monday
2014-07-21 16:00:00,80.38399999999999,36,scattered clouds,2014-07-21 16:00:00,Monday
2014-07-21 17:00:00,81.44600000000005,30,scattered clouds,2014-07-21 17:00:00,Monday
2014-07-21 18:00:00,82.70600000000003,29,scattered clouds,2014-07-21 18:00:00,Monday
2014-07-22 01:00:00,74.33599999999997,32,scattered clouds,2014-07-22 01:00:00,Tuesday
2014-07-22 02:00:00,73.184,14,few clouds,2014-07-22 02:00:00,Tuesday
2014-07-22 03:00:00,71.88800000000005,16,few clouds,2014-07-22 03:00:00,Tuesday
2014-07-22 04:00:00,70.934,18,few clouds,2014-07-22 04:00:00,Tuesday
2014-07-22 07:00:00,68.576,31,few clouds,2014-07-22 07:00:00,Tuesday
2014-07-22 08:00:00,68.108,58,few clouds,2014-07-22 08:00:00,Tuesday
2014-07-22 09:00:00,67.45999999999998,44,few clouds,2014-07-22 09:00:00,Tuesday
2014-07-22 12:00:00,72.21199999999996,42,few clouds,2014-07-22 12:00:00,Tuesday
2014-07-22 16:00:00,84.18200000000002,34,scattered clouds,2014-07-22 16:00:00,Tuesday
2014-07-22 17:00:00,85.28000000000004,29,scattered clouds,2014-07-22 17:00:00,Tuesday
2014-07-22 18:00:00,85.96400000000003,26,sky is clear,2014-07-22 18:00:00,Tuesday
2014-07-23 01:00:00,79.62799999999996,32,scattered clouds,2014-07-23 01:00:00,Wednesday
2014-07-23 02:00:00,78.42200000000004,24,few clouds,2014-07-23 02:00:00,Wednesday
2014-07-23 03:00:00,76.96400000000003,21,few clouds,2014-07-23 03:00:00,Wednesday
2014-07-23 04:00:00,75.542,19,few clouds,2014-07-23 04:00:00,Wednesday
2014-07-23 07:00:00,72.57200000000003,35,few clouds,2014-07-23 07:00:00,Wednesday
2014-07-23 08:00:00,71.88800000000005,62,few clouds,2014-07-23 08:00:00,Wednesday
2014-07-23 09:00:00,71.09600000000005,69,few clouds,2014-07-23 09:00:00,Wednesday
2014-07-23 12:00:00,73.958,40,smoke,2014-07-23 12:00:00,Wednesday
2014-07-23 16:00:00,85.658,32,scattered clouds,2014-07-23 16:00:00,Wednesday
2014-07-23 17:00:00,87.47599999999998,48,broken clouds,2014-07-23 17:00:00,Wednesday
2014-07-23 18:00:00,88.66400000000003,34,broken clouds,2014-07-23 18:00:00,Wednesday
2014-07-24 01:00:00,79.41199999999995,33,thunderstorm,2014-07-24 01:00:00,Thursday
2014-07-24 02:00:00,77.28800000000004,20,moderate rain,2014-07-24 02:00:00,Thursday
2014-07-24 03:00:00,76.11799999999998,12,moderate rain,2014-07-24 03:00:00,Thursday
2014-07-24 04:00:00,75.65,11,light rain,2014-07-24 04:00:00,Thursday
2014-07-24 07:00:00,72.734,30,broken clouds,2014-07-24 07:00:00,Thursday
2014-07-24 08:00:00,71.924,67,scattered clouds,2014-07-24 08:00:00,Thursday
2014-07-24 09:00:00,71.6,55,scattered clouds,2014-07-24 09:00:00,Thursday
2014-07-24 12:00:00,71.92129325180002,39,broken clouds,2014-07-24 12:00:00,Thursday
2014-07-24 16:00:00,76.17200000000004,33,broken clouds,2014-07-24 16:00:00,Thursday
2014-07-24 17:00:00,76.07016733100002,40,moderate rain,2014-07-24 17:00:00,Thursday
2014-07-24 18:00:00,77.84600000000005,36,broken clouds,2014-07-24 18:00:00,Thursday
2014-07-25 01:00:00,74.31799999999998,31,broken clouds,2014-07-25 01:00:00,Friday
2014-07-25 02:00:00,73.184,21,broken clouds,2014-07-25 02:00:00,Friday
2014-07-25 03:00:00,72.60604059919999,22,light rain,2014-07-25 03:00:00,Friday
